,MedHouseVal
23698,1.854
27349,3.288
1955,3.674
28345,2.374
251,1.609
14437,1.531
8609,1.886
31311,5.00001
28185,4.227
22768,1.358
6430,2.545
14983,4.5
18452,2.256
25502,1.306
25768,2.959
32790,2.833
16667,1.148
970,0.724
35359,1.772
20576,2.148
35469,0.731
3687,2.328
19102,1.496
34006,2.917
25265,3.5
23576,1.475
9011,4.093
3842,2.194
33965,1.886
6527,1.817
9097,1.65
7920,1.632
28884,2.164
24862,1.507
14661,1.642
33708,4.163
17028,2.132
2274,5.00001
30011,1.011
27946,3.047
24366,0.92
20357,2.594
34488,1.5
34969,1.953
31198,1.639
32831,1.533
17697,1.268
21221,2.801
23083,4.444
274,3.252
2562,1.885
34091,0.925
3163,1.542
31272,3.875
9661,5.00001
7815,0.649
27288,1.08
17962,0.859
7620,2.633
21419,1.719
23103,1.75
24930,0.969
2090,3.295
2240,0.832
24682,4.374
33482,2.331
27557,1.375
29584,1.053
25771,1.515
22925,1.281
8403,0.75
25018,3.875
31699,5.00001
21215,1.703
10107,2.137
4464,1.392
31598,0.579
22829,1.254
34839,1.094
22260,2.698
35823,1.6
29512,3.638
15073,1.625
22607,1.163
29691,2.906
17702,1.037
13635,1.563
34486,1.591
28236,3.5
1049,1.617
5398,0.627
24382,1.154
15062,1.84
25595,2.063
35971,2.489
27220,1.067
23760,0.906
6275,2.86
25144,2.719
29605,2.326
22037,2.18
22311,2.238
28659,0.816
17437,3.362
12256,0.931
35633,1.428
727,0.917
32581,1.034
2052,1.316
7129,0.661
22627,2.693
26254,2.022
284,2.493
14354,2.495
16126,5.00001
14499,1.721
25582,1.625
17494,1.406
33957,3.31
34371,3.122
5802,1.409
1211,5.00001
25895,2.893
34910,1.563
31934,1.125
5633,1.76
20779,3.927
29521,2.029
7516,1.547
35833,2.082
8116,2.091
30440,1.819
33518,3.429
10670,1.689
13811,1.421
30536,1.375
31233,2.747
16268,2.333
20012,5.00001
31382,2.185
10835,0.924
2324,0.967
2481,1.725
20602,1.506
19438,5.00001
2189,3.9
23471,2.862
33364,1.034
30184,1.881
25128,3.008
12,1.825
17163,0.892
11620,1.313
8069,0.611
25199,3.204
33987,0.444
29269,1.002
13953,1.909
19285,2.768
5311,3.257
17096,1.674
12783,2.25
13245,0.707
4123,1.523
9103,1.086
25193,2.208
3623,0.856
33978,1.667
13734,1.629
18674,2.12
20719,1.19
5375,1.539
26295,5.00001
9066,5.00001
37025,0.715
35720,2.25
20555,1.323
25722,4.636
17464,1.441
29737,2.247
1729,3.528
